metric;story;roi;max_corr;mean_corr;n_voxels;vox_gt_0.1;vox_gt_0.2;vox_gt_0.3
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;ligeia;tempo_middle_temporal_gyrus_R.nii;0.11461838252733572;-0.000222721;276;1;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;ligeia;tempo_middle_temporal_gyrus_L.nii;0.11461838252733572;-0.000222721;276;1;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;mord_in_sunningdale;Angualr_gyrus.nii;0.11451035248960502;-0.013333171;332;4;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;fuenf_apfelsinenkerne;Temporal_Pole_R.nii;0.11405575286317163;0.005314835;1333;1;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;fuenf_apfelsinenkerne;Temporal_Pole_L.nii;0.11405575286317163;0.005314835;1333;1;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_pflanzen_des_dr;dlpfc(middle_frontal_gyrus)_R.nii;0.11404055467225019;0.001319345;727;2;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_pflanzen_des_dr;dlpfc(middle_frontal_gyrus)_L.nii;0.11404055467225019;0.001319345;727;2;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;ligeia;dlpfc(middle_frontal_gyrus)_R.nii;0.11376836802603402;-0.014276836;727;3;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;ligeia;dlpfc(middle_frontal_gyrus)_L.nii;0.11376836802603402;-0.014276836;727;3;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;mord_in_sunningdale;Paracingulate_gyrus.nii;0.11361469938731465;-0.002342961;809;4;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_schwarze_katze;sup_frontal_gyrus.nii;0.11349773631446629;0.004904605;625;2;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;ligeia;vmpfc(frontal_medial_cortex)_R.nii;0.11321554039078442;0.018976466107749623;249;5;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;ligeia;dmpc(frontal_medial_cortex).nii;0.11321554039078442;0.018976466107749623;249;5;0;0
