roi,mean_delta_beta,ci_lo_delta_beta,ci_hi_delta_beta,cohens_d_delta,mean_beta_shift_unique,ci_lo_shift,ci_hi_shift,cohens_d_shift,p_simes_unique_shift,mean_beta_drift_unique,ci_lo_drift,ci_hi_drift,cohens_d_drift,p_simes_unique_drift,p_simes_delta_beta,n_vox
22_Lateral_Occipital_Cortex_superior_division_left.nii,0.003657116638745123,-0.005162290643260241,0.01463129334023173,0.19282859056184326,-0.0012564850948950533,-0.007787777861301355,0.00429668225069335,-0.10887688939994594,0.022785649264431634,-0.0049136017336401765,-0.013521860063522642,0.0008393658202183923,-0.36677116323495723,0.0033428036665772666,0.005506671769259812,1929
22_Lateral_Occipital_Cortex_superior_division_right.nii,-0.0011538887464755997,-0.00958966466110022,0.00645223332192874,-0.07461097023802077,-0.0034698307323746983,-0.00957733331453727,0.004044069757442454,-0.26458095066414605,3.6936716467357624e-05,-0.002315941985899104,-0.007938004588618559,0.004481036332608742,-0.1938232571934226,0.008774888677600162,0.0007840324466631768,1841
23_Lateral_Occipital_Cortex_inferior_division_left.nii,-0.006252189469484631,-0.01657573449496604,0.006819493536745016,-0.2781435836684454,-0.00043133106783403886,-0.005111807109074803,0.003779690399394415,-0.0505856277168101,9.24374662191694e-05,0.00582085840165059,-0.0045126030094600695,0.013914936334990618,0.3281510524122608,0.028887398957564658,0.010564429707906085,858
23_Lateral_Occipital_Cortex_inferior_division_right.nii,-0.00022097140552187152,-0.013932148939466565,0.018384575413515958,-0.00715356595542703,0.0027862290199372687,-0.004141355753497111,0.009436490895489409,0.21371836870498778,0.06054771934443314,0.003007200425459141,-0.012258968570484523,0.011905047147331408,0.13625833305819693,0.006591076503626058,0.015895972604251987,779
24_Intracalcarine_Cortex_left.nii,0.009565438659440966,-0.007448839659092058,0.036629167830993244,0.23389979012824558,-0.003502198395966472,-0.022549711414015496,0.017309051345553043,-0.09134288033125575,0.6967044867334177,-0.01306763705540744,-0.02425055775067779,-0.005133951252819152,-0.714929588906356,0.01159536253769078,0.6651197618898916,190
24_Intracalcarine_Cortex_right.nii,0.009602572833694882,-0.010312207469000615,0.04443546913075351,0.19400490309400603,0.0013249207276816424,-0.020836848045682886,0.020433460697316032,0.03337237663312877,0.45805460722893754,-0.008277652106013238,-0.0283162532577409,0.002713752228472883,-0.2936640255012408,0.012244194764502732,0.03624706281188168,188
25_Frontal_Medial_Cortex_left.nii,0.005160795911527457,-0.007668657310280568,0.015892039185793183,0.22935703220085898,0.00320384474115773,-0.005085651077112387,0.009494341730805258,0.23151385458661417,0.07583381609970749,-0.0019569511703697224,-0.010628977856080744,0.005601562319873994,-0.12573905673055127,0.089474796932004,0.013858752101711445,117
25_Frontal_Medial_Cortex_right.nii,0.016560974370669276,0.003985763327916147,0.02967819329394895,0.6753869608077174,0.009660344869007187,0.0013940657496256087,0.019522871789944274,0.5608724880065015,0.004810649131437744,-0.006900629501662079,-0.01727137015583564,0.0006133665867074791,-0.4084382156544359,0.002006201272503057,0.011685337971746822,182
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_left.nii,0.0064656322683141615,-0.0018273222238324297,0.025487802273188816,0.27909399890393216,0.010968689285783583,0.007688335998460857,0.014435852414599822,1.6678287782399088,0.0009839797089418187,0.004503057017469421,-0.016034542637499538,0.012515827731347863,0.19253307335115658,0.2313779837242342,0.0002717867385978392,310
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_right.nii,0.00279519672503645,-0.010149590562587671,0.023727377453795852,0.08955207116642777,0.0032232387097124457,-0.0050339636046800185,0.009301311711075268,0.235198766696612,3.114994869199677e-05,0.0004280419846759992,-0.022474694371065515,0.008944374969705614,0.01704365383957813,0.06591925900700643,0.00030275540044880816,238
