roi,story,delta_beta,beta_shift_unique,beta_drift_unique
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,die_schwarze_katze,-0.002904134714587219,-0.005430761424363181,-0.0025266267097759673
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,fuenf_apfelsinenkerne,0.006795677395859225,-0.004271397798514121,-0.011067075194373343
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,koenig_pest,-0.008287848633325441,-0.0017383119009996236,0.006549536732325819
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,lebendig_begraben,0.0058592568770365365,-0.002875931675000085,-0.008735188552036617
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,ligeia,0.0016051670723449848,-0.00046172267621374095,-0.0020668897485587277
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,maupassant_hand,0.005126539045066602,0.009451699445290675,0.004325160400224072
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,mord_in_sunningdale,0.006292111181720038,0.007108856384318364,0.0008167452025983242
14_Right_Lateral_Ventricle.nii,das_manuskript_in_der_flasche,-0.006289875441608349,-0.006973600526817479,-0.0006837250852091288
14_Right_Lateral_Ventricle.nii,der_blaue_karfunkel,0.006569725718100821,0.001279175054836798,-0.005290550663264026
14_Right_Lateral_Ventricle.nii,der_fall_stretelli,-0.01554705970051751,-0.010494367340915328,0.0050526923596021945
14_Right_Lateral_Ventricle.nii,der_katechismus_der_familie_musgrave,-0.004722620994986065,-0.003605472929435315,0.001117148065550752
14_Right_Lateral_Ventricle.nii,die_maske_des_roten_todes,0.0009340061808808526,-0.0043604284823974635,-0.005294434663278318
14_Right_Lateral_Ventricle.nii,die_pflanzen_des_dr,-0.03124478136083857,-0.01837979650266422,0.012864984858174357
14_Right_Lateral_Ventricle.nii,die_schwarze_katze,-0.0074607656122274045,0.002094663314643355,0.00955542892687076
14_Right_Lateral_Ventricle.nii,fuenf_apfelsinenkerne,-0.0024477361395948043,-0.0032372390013118814,-0.0007895028617170763
14_Right_Lateral_Ventricle.nii,koenig_pest,-0.007226530975379364,-0.0052941658114187065,0.0019323651639606531
14_Right_Lateral_Ventricle.nii,lebendig_begraben,0.026674326625857434,0.015354870173776654,-0.011319456452080786
14_Right_Lateral_Ventricle.nii,ligeia,0.00678391444919498,0.007580251817753246,0.0007963373685582708
14_Right_Lateral_Ventricle.nii,maupassant_hand,0.01620135871973294,0.018215494218681804,0.0020141354989488772
14_Right_Lateral_Ventricle.nii,mord_in_sunningdale,0.012569363328734528,0.0033071871612238,-0.00926217616751072
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,das_manuskript_in_der_flasche,0.006357582716475542,0.006548190105556514,0.00019060738908097883
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,der_blaue_karfunkel,0.008658476063713571,0.005193777980231387,-0.00346469808348218
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,der_fall_stretelli,0.0020566367286190914,0.002970624765176239,0.0009139880365571436
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,der_katechismus_der_familie_musgrave,0.0004413495901961743,0.0036720608893522516,0.003230711299156073
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,die_maske_des_roten_todes,0.010202558601216287,0.007035186895683138,-0.003167371705533147
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,die_pflanzen_des_dr,0.00010294779385732478,0.006217339261576784,0.006114391467719458
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,die_schwarze_katze,0.0019767664424591475,0.004267020555720225,0.00229025411326108
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,fuenf_apfelsinenkerne,0.002566356762342143,0.0031103542847592666,0.0005439975224171226
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,koenig_pest,0.007852634692236049,0.007282433775245567,-0.0005702009169904806
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,lebendig_begraben,0.012817349868413597,0.007877646353114443,-0.004939703515299162
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,ligeia,0.0011878411774414825,0.0017865842418591403,0.0005987430644176566
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,maupassant_hand,0.0034279041186537655,0.002034134359662166,-0.0013937697589916078
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,mord_in_sunningdale,0.0022062084602198244,-0.0022550251248921057,-0.0044612335851119305
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,das_manuskript_in_der_flasche,0.0017723622302892132,0.007029080738743075,0.005256718508453863
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,der_blaue_karfunkel,0.0017375354517431378,0.0029639045923224266,0.0012263691405792888
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,der_fall_stretelli,0.0025211705156310223,0.004454587276842109,0.0019334167612110932
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,der_katechismus_der_familie_musgrave,-0.006421903322878203,-0.0023645155566587644,0.004057387766219439
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,die_maske_des_roten_todes,0.0003744169437428663,0.0044371967595725195,0.004062779815829654
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,die_pflanzen_des_dr,0.0011450648111289235,0.004823136293153798,0.0036780714820248794
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,die_schwarze_katze,0.00392244075142389,0.004330162028007289,0.0004077212765834011
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,fuenf_apfelsinenkerne,0.0017983661827125773,0.001167817473974253,-0.0006305487087383216
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,koenig_pest,0.0025000094042194852,0.0040055492989493945,0.0015055398947299114
